TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT1G32140,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32150,bZIP transcription factor family protein,Bo5g048660,,-,-
AT1G32160,unknown protein,-,,-,Bo5g090560
AT1G32170,XTR4 (XYLOGLUCAN ENDOTRANSGLYCOSYLASE 4); hydrolase acting on glycosyl bonds / hydrolase hydrolyzing O-glycosyl compounds / xyloglucan:xyloglucosyl transferase,-,,Bo8g030170,Bo5g090540
AT1G32172,other RNA,na ,,na ,na 
AT1G32180,ATCSLD6; cellulose synthase/ transferase transferring glycosyl groups,-,,-,Bo5g089470
AT1G32190,unknown protein,Bo5g048750,,-,Bo5g089460
AT1G32200,ATS1; glycerol-3-phosphate O-acyltransferase,Bo5g048790,,Bo8g030160,Bo5g089440
AT1G32210,ATDAD1 (DEFENDER AGAINST APOPTOTIC DEATH 1),Bo5g048800,,-,Bo5g089430
AT1G32220,binding / catalytic/ coenzyme binding,Bo5g048810,,-,-
AT1G32225,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32230,RCD1 (RADICAL-INDUCED CELL DEATH1); protein binding,Bo5g048840,,Bo8g030150,Bo5g089420
AT1G32240,KAN2 (KANADI 2); DNA binding / transcription factor,Bo5g048880,,-,-
AT1G32250,calmodulin putative,Bo5g088380,,-,-
AT1G32260,unknown protein,Bo5g048920,,-,-
AT1G32270,ATSYP24; SNAP receptor/ protein binding,Bo5g048930,,-,-
AT1G32280,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32290,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32300,FAD-binding domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32310,unknown protein,Bo5g088350,,-,-
AT1G32320,ATMKK10; MAP kinase kinase/ kinase,Bo5g048940,,-,-
AT1G32330,ATHSFA1D; DNA binding / transcription factor,Bo5g048950,,Bo8g029040,-
AT1G32337,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32340,NHL8; protein binding / zinc ion binding,-,,-,-
AT1G32350,AOX1D (alternative oxidase 1D); alternative oxidase,-,,-,Bo5g088310
AT1G32360,zinc finger (CCCH-type) family protein,Bo5g048980,,-,-
AT1G32361,ATL1F; protein binding / zinc ion binding,Bo5g048990,,Bo8g028620,-
AT1G32370,TOM2B (TOBAMOVIRUS MULTIPLICATION 2B),Bo5g049010,,-,-
AT1G32375,F-box family protein,Bo5g049130,,-,-
AT1G32380,ribose-phosphate pyrophosphokinase 2 / phosphoribosyl diphosphate synthetase 2 (PRS2),Bo5g049020,,-,Bo5g088280
AT1G32385,snoRNA,na ,,na ,na 
AT1G32390,transposable element gene,na ,,na ,na 
AT1G32400,TOM2A (TOBAMOVIRUS MULTIPLICATION 2A); protein binding,Bo5g049040,,-,Bo5g088150
AT1G32410,vacuolar protein sorting 55 family protein / VPS55 family protein,Bo5g049060,,-,-
AT1G32415,pentatricopeptide (PPR) repeat-containing protein,Bo5g049070,,-,-
AT1G32420,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32430,F-box family protein,Bo5g048490;Bo5g048480,,-,-
AT1G32440,PKp3 (plastidial pyruvate kinase 3); pyruvate kinase,-,,-,Bo5g087140
AT1G32450,NRT1.5 (NITRATE TRANSPORTER 1.5); nitrate transmembrane transporter/ transporter,Bo5g049080,,-,Bo5g087130
AT1G32460,unknown protein,-,,-,Bo5g087080
AT1G32470,glycine cleavage system H protein mitochondrial putative,Bo5g049100,,Bo8g028680,-
AT1G32480,oxidoreductase/ oxidoreductase acting on the CH-OH group of donors NAD or NADP as acceptor,-,,-,-
AT1G32490,ESP3 (ENHANCED SILENCING PHENOTYPE 3); ATP binding / ATP-dependent RNA helicase/ ATP-dependent helicase/ helicase/ nucleic acid binding,-,,-,Bo5g087070
AT1G32500,ATNAP6 (NON-INTRINSIC ABC PROTEIN 6); protein binding / transporter,-,,-,Bo5g087060
AT1G32505,transposable element gene,na ,,na ,na 
AT1G32510,anac011 (Arabidopsis NAC domain containing protein 11); transcription factor,-,,Bo8g028730,-
AT1G32520,unknown protein,Bo5g049140,,-,-
AT1G32530,zinc finger (C3HC4-type RING finger) family protein,Bo5g049150,,-,-
AT1G32540,LOL1 (LSD ONE LIKE 1); DNA binding,Bo5g049180,,-,Bo5g087050
AT1G32550,ferredoxin family protein,-,,Bo8g028740,-
AT1G32560,late embryogenesis abundant group 1 domain-containing protein / LEA group 1 domain-containing protein,Bo5g049220,,Bo8g028750,-
AT1G32570,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32580,plastid developmental protein DAG putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32582,MIR400; miRNA,na ,,na ,na 
AT1G32583,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; BEST Arabidopsis thaliana protein match is: TPD1 (TAPETUM DETERMINANT 1) (TAIR:AT4G24972.1); Has 78 Blast hits to 76 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 78; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,-,,-,Bo5g087020
AT1G32585,VQ motif-containing protein-related,-,,Bo8g028790,-
AT1G32590,transposable element gene,na ,,na ,na 
AT1G32600,F-box family protein-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32610,hydroxyproline-rich glycoprotein family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32620,pre-tRNA,na ,,na ,na 
AT1G32630,unknown protein,-,,-,Bo5g087000
AT1G32640,MYC2; DNA binding / transcription activator/ transcription factor,-,,Bo8g028850,Bo5g086990
AT1G32650,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32660,F-box family protein,-,,-,-
AT1G32670,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32680,transposable element gene,na ,,na ,na 
AT1G32690,unknown protein,-,,-,Bo5g086970
AT1G32700,zinc-binding family protein,Bo5g049240,,Bo8g028900,-
AT1G32710,cytochrome c oxidase subunit VIb family,-,,-,-
AT1G32713,MIR829a; miRNA,na ,,na ,na 
AT1G32720,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32730,unknown protein,Bo5g049290,,-,Bo5g086960
AT1G32740,protein binding / zinc ion binding,Bo5g049310,,-,-
AT1G32750,HAF01; DNA binding / histone acetyltransferase,-,,Bo8g028930,-
AT1G32760,glutaredoxin family protein,Bo5g049330,,-,-
AT1G32763,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32770,ANAC012 (ARABIDOPSIS NAC DOMAIN CONTAINING PROTEIN 12); specific transcriptional repressor/ transcription activator/ transcription factor,Bo5g049360,,-,Bo5g086900
AT1G32780,alcohol dehydrogenase putative,Bo5g049370,,-,Bo5g086890
AT1G32790,RNA-binding protein putative,Bo5g049380,,-,-
AT1G32810,protein binding / zinc ion binding,-,,-,-
AT1G32820,transposable element gene,na ,,na ,na 
AT1G32830,transposable element gene,na ,,na ,na 
AT1G32840,transposable element gene,na ,,na ,na 
AT1G32850,UBP11 (UBIQUITIN-SPECIFIC PROTEASE 11); cysteine-type endopeptidase/ ubiquitin thiolesterase,Bo5g049420,,-,Bo5g086830
AT1G32860,glycosyl hydrolase family 17 protein,Bo5g049430,,-,-
AT1G32870,ANAC13 (Arabidopsis thaliana NAC domain protein 13); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32880,importin alpha-1 subunit putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32890,transposable element gene,na ,,na ,na 
AT1G32900,starch synthase putative,-,,-,Bo5g086820
AT1G32910,transferase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32920,unknown protein,na ,,na ,na 
AT1G32928,unknown protein,na ,,na ,na 
AT1G32930,galactosyltransferase family protein,Bo5g049460,,-,-
AT1G32940,SBT3.5; identical protein binding / serine-type endopeptidase,Bo5g049470,,-,-
AT1G32950,subtilase family protein,na ,,na ,na 
AT1G32960,SBT3.3; identical protein binding / serine-type endopeptidase,na ,,na ,na 
AT1G32970,subtilase family protein,na ,,na ,na 
AT1G32975,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G32980,subtilisin-like serine protease-related,na ,,na ,na 
AT1G32990,PRPL11 (PLASTID RIBOSOMAL PROTEIN L11); structural constituent of ribosome,Bo5g049540,,Bo8g028560,-
AT1G32992,MIR856a; miRNA,na ,,na ,na 
AT1G33000,transposable element gene,na ,,na ,na 
AT1G33010,F-box family protein,-,,-,-
AT1G33020,F-box family protein,na ,,na ,na 
AT1G33030,O-methyltransferase family 2 protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33040,NACA5 (NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT ALPHA-LIKE PROTEIN 5),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33050,unknown protein,-,,Bo8g028540,-
AT1G33055,unknown protein,-,,-,Bo5g086790
AT1G33060,no apical meristem (NAM) family protein,-,,-,Bo5g086780
AT1G33070,sequence-specific DNA binding / transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33080,MATE efflux family protein,-,,Bo8g027510;Bo8g027500,-
AT1G33090,MATE efflux family protein,na ,,na ,na 
AT1G33100,MATE efflux family protein,na ,,na ,na 
AT1G33102,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33110,MATE efflux family protein,na ,,na ,na 
AT1G33120,60S ribosomal protein L9 (RPL90B),-,,-,-
AT1G33130,transposable element gene,na ,,na ,na 
AT1G33135,transposable element gene,na ,,na ,na 
AT1G33140,PGY2 (PIGGYBACK2); structural constituent of ribosome,na ,,na ,na 
AT1G33160,pseudogene similar to actin blastp match of 74% identity and 8.3e-48 P-value to GP|9965319|gb|AAG10041.1|AF288226_1|AF288226 actin {Setaria italica},na ,,na ,na 
AT1G33170,dehydration-responsive family protein,-,,Bo8g027490,-
AT1G33180,transposable element gene,na ,,na ,na 
AT1G33190,pseudogene auxin-response factor (fragment),na ,,na ,na 
AT1G33200,transposable element gene,na ,,na ,na 
AT1G33220,beta-13-glucanase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33230,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: TMPIT-like (InterPro:IPR012926); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G10430.3); Has 198 Blast hits to 198 proteins in 60 species: Archae - 0; Bacteria - 0; Metazoa - 148; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).,Bo6g077370,,Bo8g027480,-
AT1G33240,AT-GTL1 (GT2-LIKE 1); DNA binding / transcription factor,Bo6g077400,,Bo8g027460,-
AT1G33250,fringe-related protein,Bo6g077440,,-,-
AT1G33260,protein kinase family protein,Bo6g077460,,-,-
AT1G33265,unknown protein,Bo6g077470,,-,-
AT1G33270,patatin-related,Bo6g077480,,Bo8g027400,-
AT1G33280,ANAC015 (Arabidopsis NAC domain containing protein 15); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33290,sporulation protein-related,Bo6g077540,,-,-
AT1G33300,transposable element gene,na ,,na ,na 
AT1G33320,cystathionine gamma-synthase chloroplast putative / O-succinylhomoserine (Thiol)-lyase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33330,peptide chain release factor putative,Bo6g078830,,-,-
AT1G33340,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related,Bo6g078820,,-,-
AT1G33350,pentatricopeptide (PPR) repeat-containing protein,Bo6g078780,,-,-
AT1G33360,ATP-dependent Clp protease ATP-binding subunit ClpX putative,Bo6g078770,,-,-
AT1G33370,pre-tRNA,na ,,na ,na 
AT1G33380,transposable element gene,na ,,na ,na 
AT1G33390,helicase domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33400,tetratricopeptide repeat (TPR)-containing protein,-,,-,Bo5g086760
AT1G33410,SAR1 (suppressor of auxin resistance1),-,,-,Bo5g086750
AT1G33415,other RNA,na ,,na ,na 
AT1G33420,PHD finger family protein,-,,-,-
AT1G33430,galactosyltransferase family protein,-,,-,Bo5g086740
AT1G33440,proton-dependent oligopeptide transport (POT) family protein,Bo6g078840,,-,-
AT1G33450,transposable element gene,na ,,na ,na 
AT1G33460,transposable element gene,na ,,na ,na 
AT1G33470,RNA recognition motif (RRM)-containing protein,-,,-,Bo5g086730
AT1G33475,INVOLVED IN: transport vesicle-mediated transport; LOCATED IN: integral to membrane; EXPRESSED IN: inflorescence meristem male gametophyte sepal carpel petiole; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Longin (InterPro:IPR010908) Longin-like (InterPro:IPR011012); BEST Arabidopsis thaliana protein match is: synaptobrevin-related family protein (TAIR:AT4G10170.2); Has 148 Blast hits to 148 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 148; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo6g078880,,-,-
AT1G33480,protein binding / zinc ion binding,Bo6g078890,,-,-
AT1G33490,unknown protein,Bo6g078900,,-,-
AT1G33500,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: sperm cell embryo flower; EXPRESSED DURING: petal differentiation and expansion stage D bilateral stage; BEST Arabidopsis thaliana protein match is: kinase interacting family protein (TAIR:AT3G22790.1); Has 3639 Blast hits to 2952 proteins in 364 species: Archae - 50; Bacteria - 374; Metazoa - 1667; Fungi - 244; Plants - 133; Viruses - 6; Other Eukaryotes - 1165 (source: NCBI BLink).,-,,-,Bo5g086720
AT1G33510,pseudogene hypothetical protein,na ,,na ,na 
AT1G33520,MOS2 (modifier of snc1 2); RNA binding / nucleic acid binding / protein binding,-,,-,Bo5g086710
AT1G33530,F-box family protein,-,,-,-
AT1G33540,scpl18 (serine carboxypeptidase-like 18); serine-type carboxypeptidase,-,,-,-
AT1G33550,transposable element gene,na ,,na ,na 
AT1G33560,ADR1 (ACTIVATED DISEASE RESISTANCE 1); kinase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33570,transposable element gene,na ,,na ,na 
AT1G33580,transposable element gene,na ,,na ,na 
AT1G33590,disease resistance protein-related / LRR protein-related,Bo6g078910,,-,Bo5g086690
AT1G33600,leucine-rich repeat family protein,na ,,na ,na 
AT1G33607,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33610,protein binding,na ,,na ,na 
AT1G33615,other RNA,na ,,na ,na 
AT1G33640,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33660,peroxidase family protein,na ,,na ,na 
AT1G33670,leucine-rich repeat family protein,na ,,na ,na 
AT1G33680,RNA binding / nucleic acid binding,Bo6g078930,,-,-
AT1G33700,catalytic/ glucosylceramidase,Bo6g078940,,-,-
AT1G33709,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33710,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: RNA-directed DNA polymerase (reverse transcriptase) related (InterPro:IPR015706); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G60720.1); Has 337 Blast hits to 335 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 337; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33720,CYP76C6; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33730,CYP76C5; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT1G33740,pseudogene putative chaperonin 60 beta precursor similar to chaperonin 60 beta precursor GB:JT0901  GI:81601 from (Arabidopsis thaliana); blastp match of 78% identity and 1.2e-11 P-value to PIR|JT0902|JT0902 chaperonin 60 beta - wheat (fragment),na ,,na ,na 
AT1G33743,Pseudogene of AT1G32660; F-box family protein,na ,,na ,na 
AT1G33750,terpene synthase/cyclase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33760,AP2 domain-containing transcription factor putative,Bo6g079980,,-,Bo5g086680
AT1G33770,protein kinase family protein,Bo6g080040,,-,Bo5g086650
AT1G33780,unknown protein,Bo6g080050,,-,-
AT1G33785,Cytochrome B6 pseudogene similar to Cytochrome B6. (Mouse-ear cress) {Arabidopsis thaliana}; blastp match of 61% identity and 7.1e-17 P-value to GP|2959637|gb|AAC05628.1||AF001491 cytochrome b6 {Prochlorococcus marinus str. MIT 9303},na ,,na ,na 
AT1G33790,jacalin lectin family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33800,unknown protein,Bo6g080060,,-,Bo5g086630
AT1G33810,unknown protein,Bo6g080110,,-,-
AT1G33811,GDSL-motif lipase/hydrolase family protein,-,,-,Bo5g086620
AT1G33813,transposable element gene,na ,,na ,na 
AT1G33817,transposable element gene,na ,,na ,na 
AT1G33820,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33830,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33835,transposable element gene,na ,,na ,na 
AT1G33840,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33850,40S ribosomal protein S15 putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33855,transposable element gene,na ,,na ,na 
AT1G33860,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33870,avirulence-responsive protein putative / avirulence induced gene protein putative / AIG protein putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33880,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein,na ,,na ,na 
AT1G33890,avirulence-responsive protein putative / avirulence induced gene protein putative / AIG protein putative,na ,,na ,na 
AT1G33900,avirulence-responsive protein putative / avirulence induced gene protein putative / AIG protein putative,na ,,na ,na 
AT1G33910,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein,na ,,na ,na 
AT1G33920,ATPP2-A4 (Phloem protein 2-A4); carbohydrate binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33925,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33930,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein,na ,,na ,na 
AT1G33940,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: EMB3013 (embryo defective 3013); ATP binding / binding / kinase/ protein kinase/ protein serine/threonine kinase (TAIR:AT5G18700.1); Has 81 Blast hits to 63 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 32; Fungi - 0; Plants - 37; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G33950,avirulence-responsive family protein / avirulence induced gene (AIG1) family protein,Bo6g080120,,-,Bo5g086610
AT1G33960,AIG1 (AVRRPT2-INDUCED GENE 1); GTP binding,na ,,na ,na 
AT1G33970,avirulence-responsive protein putative / avirulence induced gene protein putative / AIG protein putative,na ,,na ,na 
AT1G33980,Smg-4/UPF3 family protein,Bo6g080160,,Bo8g027230,Bo5g086600
AT1G33990,MES14 (METHYL ESTERASE 14); hydrolase,Bo6g080170,,Bo8g027220,-
AT1G34000,OHP2 (ONE-HELIX PROTEIN 2),na ,,na ,na 
AT1G34010,unknown protein,na ,,na ,na 
AT1G34020,transporter-related,Bo6g080190,,-,Bo5g086570
AT1G34030,40S ribosomal protein S18 (RPS18B),Bo6g080200,,-,Bo5g086560
AT1G34040,alliinase family protein,na ,,na ,na 
AT1G34041,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34042,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34044,unknown pseudogene,na ,,na ,na 
AT1G34046,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; BEST Arabidopsis thaliana protein match is: ankyrin repeat family protein (TAIR:AT1G34050.1).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34047,Encodes a defensin-like (DEFL) family protein.,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34050,ankyrin repeat family protein,na ,,na ,na 
AT1G34060,alliinase family protein,na ,,na ,na 
AT1G34065,SAMC2 (S-adenosylmethionine carrier 2); binding,Bo6g080290,,-,-
AT1G34070,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34080,transposable element gene,na ,,na ,na 
AT1G34090,transposable element gene,na ,,na ,na 
AT1G34095,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34097,transposable element gene,na ,,na ,na 
AT1G34100,choline kinase putative similar to choline kinase (GmCK2p) GI:1438881 from (Glycine max); contains Pfam profile PF01633: Choline/ethanolamine kinase; could not find a suitable start codon; this may be a pseudogene a transposon insertion is found immediately upstream.,na ,,na ,na 
AT1G34110,leucine-rich repeat transmembrane protein kinase putative,-,,-,Bo5g086540
AT1G34120,IP5PI (INOSITOL POLYPHOSPHATE 5-PHOSPHATASE I); inositol trisphosphate phosphatase/ inositol-polyphosphate 5-phosphatase,-,,-,Bo5g086510
AT1G34130,STT3B (staurosporin and temperature sensitive 3-like b); oligosaccharyl transferase,Bo6g080320,,-,Bo5g086490;Bo5g086480
AT1G34140,PAB1 (POLY(A) BINDING PROTEIN 1); RNA binding / translation initiation factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34150,tRNA pseudouridine synthase family protein,na ,,na ,na 
AT1G34160,pentatricopeptide (PPR) repeat-containing protein,na ,,na ,na 
AT1G34170,transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34180,anac016 (Arabidopsis NAC domain containing protein 16); transcription factor,Bo6g082440,,Bo8g027120,Bo5g085420
AT1G34190,anac017 (Arabidopsis NAC domain containing protein 17); transcription factor,na ,,na ,na 
AT1G34200,oxidoreductase family protein,Bo6g082460,,-,-
AT1G34210,SERK2 (SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 2); kinase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34220,unknown protein,Bo6g082480,,Bo8g027110,-
AT1G34230,transposable element gene,na ,,na ,na 
AT1G34240,transposable element gene,na ,,na ,na 
AT1G34245,Encodes a secretory peptide EPF2 expressed in proliferating cells of the stomatal lineage known as meristemoids and in guard mother cells the progenitors of stomata.  Controls asymmetric cell divisions during stomatal development.  EPF2 is related to EPF1 also involved in stomatal development.,Bo6g082520,,-,-
AT1G34250,transposable element gene,na ,,na ,na 
AT1G34260,phosphatidylinositol-4-phosphate 5-kinase family protein,Bo6g082540,,-,-
AT1G34270,exostosin family protein,Bo6g082550,,Bo8g027100,-
AT1G34280,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34281,Pseudogene of AT5G28720; unknown protein,na ,,na ,na 
AT1G34290,AtRLP5 (Receptor Like Protein 5); protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34300,lectin protein kinase family protein,Bo6g082580,,Bo8g027090,-
AT1G34310,ARF12 (AUXIN RESPONSE FACTOR 12); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34315,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34320,unknown protein,Bo6g082590,,-,-
AT1G34330,pseudogene putative peroxidase similar to anionic peroxidase GI:559235 from (Petroselinum crispum); blastp match of 35% identity and 2.3e-53 P-value to GP|21426121|gb|AAM52318.1|AC105363_7|AC105363 Putative peroxidase {Oryza sativa (japonica cultivar-group)},na ,,na ,na 
AT1G34340,esterase/lipase/thioesterase family protein,Bo6g082600,,Bo8g027080,-
AT1G34350,unknown protein,Bo6g082620,,Bo8g027070,-
AT1G34355,forkhead-associated domain-containing protein / FHA domain-containing protein,Bo6g082630,,Bo8g027010,-
AT1G34360,translation initiation factor 3 (IF-3) family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34370,STOP1 (sensitive to proton rhizotoxicity 1); nucleic acid binding / transcription factor/ zinc ion binding,Bo6g082670,,Bo8g027000,-
AT1G34380,5'-3' exonuclease family protein,Bo6g082680,,-,-
AT1G34390,ARF22 (AUXIN RESPONSE FACTOR 22); transcription factor,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34392,Unknown gene,na ,,na ,na 
AT1G34400,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34405,transposable element gene,na ,,na ,na 
AT1G34410,ARF21 (AUXIN RESPONSE FACTOR 21); transcription factor,na ,,na ,na 
AT1G34418,other RNA,na ,,na ,na 
AT1G34419,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G34420,leucine-rich repeat family protein / protein kinase family protein,Bo6g082690,,Bo8g026980,-
